t,SP,Ball,Err,P,I,D,U,Ang,Pos,Vel,Blend,Zona
30.923,13.0,12.48,-0.52,0.0,-3.62,-0.0,-5.4,-0.3,-5,0.2,1.00,2
31.063,13.0,12.49,-0.51,0.0,-3.62,-0.0,-5.4,-0.3,-5,0.1,1.00,2
31.156,13.0,12.48,-0.52,0.0,-3.62,-0.0,-5.4,-0.3,-5,0.0,1.00,2
31.249,13.0,12.48,-0.52,0.0,-3.62,-0.0,-5.4,-0.3,-5,0.2,1.00,2
31.343,13.0,12.46,-0.54,0.0,-3.62,-0.0,-5.4,-0.3,-5,-0.1,1.00,2
31.437,13.0,12.45,-0.55,0.0,-3.62,-0.0,-5.4,-0.3,-5,-0.0,1.00,2
31.53,13.0,12.44,-0.56,0.0,-3.62,-0.0,-5.4,-0.3,-5,-0.4,1.00,2
31.671,13.0,12.50,-0.50,0.0,-3.62,-0.0,-5.4,-0.3,-5,0.2,1.00,2
31.765,13.0,12.45,-0.55,0.0,-3.62,-0.0,-5.4,-0.3,-5,-0.2,1.00,2
31.856,13.0,12.45,-0.55,0.0,-3.62,-0.0,-5.4,-0.3,-5,-0.0,1.00,2
31.949,13.0,12.44,-0.56,0.0,-3.62,-0.0,-5.4,-0.3,-5,-0.0,1.00,2
32.041,13.0,12.43,-0.57,0.0,-3.62,-0.0,-5.4,-0.3,-5,-0.3,1.00,2
32.181,13.0,12.46,-0.54,0.0,-3.62,-0.0,-5.4,-0.3,-5,-0.0,1.00,2
32.276,13.0,12.48,-0.52,0.0,-3.62,-0.0,-5.4,-0.3,-5,0.3,1.00,2
32.366,13.0,12.50,-0.50,0.0,-3.62,-0.0,-5.4,-0.3,-5,0.2,1.00,2
32.459,13.0,12.47,-0.53,0.0,-3.62,-0.0,-5.4,-0.3,-5,0.0,1.00,2
32.553,13.0,12.46,-0.54,0.0,-3.62,-0.0,-5.4,-0.3,-5,-0.0,1.00,2
32.692,13.0,12.47,-0.53,0.0,-3.62,-0.0,-5.4,-0.3,-5,-0.0,1.00,2
